id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
291317,2001,Norte de Santander,TIB?,Retenci�n/Ejecuci�n,Grupo Paramilitar,No identificado,6
291318,2001,Antioquia,LA CEJA,Sicariato,Grupo Paramilitar,Bloque Metro,5
291319,2001,Antioquia,LA CEJA,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291320,2001,La Guajira,BARRANCAS,Asalto,Grupo Armado No Identificado,No aplica,4
291321,2001,Antioquia,GRANADA,Retenci�n/Ejecuci�n,Grupo Armado No Identificado,No aplica,4
291323,2001,Santander,GIR?N,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291324,2001,Antioquia,YAL?,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291325,2001,Norte de Santander,TIB?,Asalto,Guerrilla,FARC,16
291326,2001,Cauca,BUENOS AIRES,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291327,2001,Santander,HATO,Asalto,Guerrilla,ELN,4
291328,2001,Antioquia,MEDELL?N,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291329,2001,Santander,EL PLAY?N,Retenci�n/Ejecuci�n,Agente del Estado - Grupo Paramilitar,,4
291330,2001,Cesar,CHIRIGUAN?,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291331,2001,Antioquia,SAN CARLOS,Ruta,Grupo Paramilitar,No Identificado,5
291332,2001,"Bogotá D.C.","Bogotá D.C.",Retenci�n/Ejecuci�n,Guerrilla,FARC,4
291333,2001,La Guajira,MAICAO,Interceptaci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291334,2001,Atlántico,BARRANQUILLA,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,7
291335,2001,Meta,SAN CARLOS DE GUAROA,Asalto,Grupo Paramilitar,No Identificado,6
291336,2001,Atlántico,BARRANQUILLA,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,7
291337,2001,Antioquia,LA UNI?N,Falso Positivo,Grupo Paramilitar,No Identificado,4
291341,2001,Antioquia,SAN RAFAEL,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291342,2001,Cauca,EL TAMBO,Ret�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291343,2001,Antioquia,LA CEJA,Asalto,Grupo Paramilitar,No Identificado,4
291344,2001,Norte de Santander,C?CUTA,Ruta,Grupo Paramilitar,No Identificado,5
291345,2001,Santander,BARBOSA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291346,2001,Huila,PITALITO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291347,2001,Antioquia,LA UNI?N,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291351,2001,Norte de Santander,TIB?,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,5
291352,2001,Cesar,BOSCONIA,Citaci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
291353,2001,Arauca,TAME,Asalto,Guerrilla,FARC,4
291354,2001,Norte de Santander,TIB?,Asalto,Grupo Armado No Identificado,No aplica,4
291355,2001,Antioquia,AMALFI,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
291356,2001,Meta,CUMARAL,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291358,2001,Nariño,SAN ANDR�S DE TUMACO,Ataque Indiscriminado,Grupo Paramilitar,No Identificado,5
291359,2001,Antioquia,APARTAD?,Reuni�n P�blica,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291360,2001,Nariño,SAN ANDR�S DE TUMACO,Ret�n,Grupo Paramilitar,Bloque Central Bol�var,5
291361,2001,Valle del Cauca,CALIMA,Incursi�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,19
291362,2001,Cesar,R?O DE ORO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291363,2001,Córdoba,PUERTO LIBERTADOR,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291364,2001,Antioquia,COPACABANA,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291365,2001,Antioquia,ITUANGO,Interceptaci�n,Grupo Paramilitar,No Identificado,4
291366,2001,Nariño,SAN ANDR�S DE TUMACO,Interceptaci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
291367,2001,Antioquia,CARAMANTA,Ruta,Grupo Paramilitar,No Identificado,5
291368,2001,Antioquia,ITUANGO,Ruta,Grupo Paramilitar,No Identificado,6
291369,2001,Chocó,NUQU?,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291370,2001,Norte de Santander,TIB?,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,7
291372,2001,Tolima,SAN SEBASTI?N DE MARIQUITA,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291373,2001,Guaviare,EL RETORNO,Retenci�n/Ejecuci�n,Guerrilla,FARC,4
291374,2001,Norte de Santander,OCA�A,Desconocida,Grupo Paramilitar,No Identificado,4
291375,2001,Norte de Santander,TIB?,Asalto,Grupo Armado No Dirimido,,10
291376,2001,Antioquia,YARUMAL,Ruta,Grupo Paramilitar,No Identificado,5
291377,2001,Nariño,SAMANIEGO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291378,2001,Antioquia,SAN RAFAEL,Ruta,Guerrilla,ELN,7
291379,2001,Nariño,SAMANIEGO,Incursi�n,Grupo Paramilitar,No Identificado,4
291380,2001,Nariño,SAN ANDR�S DE TUMACO,Enga�o,Grupo Armado No Identificado,No aplica,4
291381,2001,Norte de Santander,TIB?,Asalto,Guerrilla,FARC,20
291382,2001,Norte de Santander,VILLA DEL ROSARIO,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291383,2001,Chocó,RIOSUCIO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291386,2001,Antioquia,EL CARMEN DE VIBORAL,Asalto,Grupo Paramilitar,No Identificado,5
291389,2001,Antioquia,EL CARMEN DE VIBORAL,Retenci�n/Ejecuci�n,Desconocido,No aplica,5
291390,2001,Cesar,EL COPEY,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291391,2001,Caquetá,FLORENCIA,Ret�n,Guerrilla,FARC,4
291392,2001,Meta,PUERTO CONCORDIA,Asalto,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,8
291393,2001,Meta,PUERTO CONCORDIA,Asalto,Grupo Armado No Identificado,No aplica,8
291394,2001,Cauca,EL TAMBO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291395,2001,Caquetá,LA MONTA�ITA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291396,2001,Caquetá,LA MONTA�ITA,Desconocida,Guerrilla,FARC,7
291397,2001,Magdalena,SANTA MARTA,Desconocida,Desconocido,No aplica,4
291398,2001,Valle del Cauca,BUENAVENTURA,Asalto,Grupo Armado No Identificado,No aplica,9
291399,2001,Antioquia,GIRARDOTA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
291400,2001,Magdalena,PUEBLOVIEJO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
291401,2001,Norte de Santander,C?CUTA,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291402,2001,Norte de Santander,C?CUTA,Sicariato,Grupo Paramilitar,No Identificado,5
291403,2001,Cauca,PIAMONTE,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291404,2001,Antioquia,EL CARMEN DE VIBORAL,Retenci�n/Ejecuci�n,Grupo Armado No Identificado,No aplica,4
291406,2001,Valle del Cauca,GUADALAJARA DE BUGA,Incursi�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,24
291407,2001,Antioquia,LA CEJA,Ruta,Grupo Paramilitar,No Identificado,4
291408,2001,Caquetá,CARTAGENA DEL CHAIR?,Interceptaci�n,Guerrilla,FARC,5
291409,2001,Antioquia,LA CEJA,Ataque Indiscriminado,Grupo Paramilitar,No Identificado,4
291410,2001,Nariño,SAMANIEGO,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,5
291411,2001,Cauca,PIAMONTE,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,8
291412,2001,Sucre,SAN ONOFRE,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291413,2001,Caldas,MARMATO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291414,2001,Antioquia,SAN ANDR�S DE CUERQU?A,Ruta,Grupo Paramilitar,No Identificado,4
291417,2001,Antioquia,ALEJANDR?A,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,12
291418,2001,Antioquia,MEDELL?N,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291419,2001,La Guajira,RIOHACHA,Interceptaci�n,Grupo Paramilitar,No Identificado,4
291420,2001,Norte de Santander,TIB?,Ret�n,Guerrilla,FARC,7
291422,2001,"Bogotá D.C.","Bogotá D.C.",Asalto,Grupo Paramilitar,No Identificado,5
291423,2001,Valle del Cauca,DAGUA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291424,2001,Antioquia,MEDELL?N,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291425,2001,Caquetá,SOLITA,Desconocida,Desconocido,No aplica,4
291426,2001,Antioquia,MARINILLA,Desconocida,Desconocido,No aplica,7
291427,2001,Antioquia,MONTEBELLO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
291428,2001,Bolívar,SAN PABLO,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
291429,2001,Sucre,SINCELEJO,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
291430,2001,Sucre,SINCELEJO,Desconocida,Desconocido,No aplica,5
291431,2001,Putumayo,ORITO,Desconocida,Guerrilla,No Identificada,4
291432,2001,Tolima,FRESNO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Campesinas del Magdalena Medio,4
291433,2001,Cesar,CHIRIGUAN?,Ruta,Grupo Paramilitar,No Identificado,6
291434,2001,Caldas,LA DORADA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
291435,2001,Antioquia,MEDELL?N,Asalto,Grupo Paramilitar,No Identificado,4
