IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,COD_DANE_MUN,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE1,DESCRIPCION_PRESUNTO_RESPONSABLE1,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
359678,,0,0,0,20710,MAGDALENA MEDIO,CESAR,SAN ALBERTO,Asalto,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359679,,0,0,0,68081,MAGDALENA MEDIO,SANTANDER,BARRANCABERMEJA,Desconocida,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359681,,0,0,0,20001,SIERRA NEVADA DE SANTA MARTA,CESAR,VALLEDUPAR,Desconocida,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
359682,,0,0,0,18410,FLORENCIA Y AREA DE INFLUENCIA,CAQUET?,LA MONTA•ITA,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359683,,0,0,0,66001,EJE CAFETERO,RISARALDA,PEREIRA,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359684,,0,0,0,54874,AREA METROPOLITANA DE CUCUTA,NORTE DE SANTANDER,VILLA DEL ROSARIO,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359685,,0,0,0,5001,VALLE DE ABURRA,ANTIOQUIA,MEDELL?N,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359686,,0,0,0,68720,MAGDALENA MEDIO,SANTANDER,SANTA HELENA DEL OP?N,Desconocida,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
359687,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359688,,0,0,0,20550,SUR DE CESAR,CESAR,PELAYA,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359689,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,ND,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
