id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
352717,2011,Antioquia,DONMAT?AS,Desconocido,No aplica,1
352718,2011,QUINDIO,CALARC?,Desconocido,No aplica,1
352720,2011,Nariño,MALLAMA,Guerrilla,ELN,1
352721,2011,Nariño,POLICARPA,Desconocido,No aplica,1
352722,2011,Valle del Cauca,BUENAVENTURA,Desconocido,No aplica,1
352723,2011,Putumayo,VALLE DEL GUAMUEZ,Guerrilla,FARC,1
352724,2011,Norte de Santander,CONVENCI?N,Desconocido,No aplica,1
352725,2011,Nariño,ANCUY?,Guerrilla,No Identificada,1
352726,2011,Putumayo,PUERTO AS?S,Guerrilla,FARC,1
352727,2011,Meta,VISTAHERMOSA,Guerrilla,No Identificada,1
352728,2011,Huila,PITALITO,Guerrilla,FARC,1
352729,2011,Norte de Santander,C?CUTA,Guerrilla,FARC,1
352730,2011,Antioquia,SABANALARGA,Guerrilla,FARC,1
352731,2011,Huila,ACEVEDO,Guerrilla,No Identificada,1
352732,2011,Santander,CIMITARRA,Desconocido,No aplica,1
352733,2011,Norte de Santander,EL TARRA,Guerrilla,No Identificada,1
352734,2011,Valle del Cauca,ROLDANILLO,Guerrilla,FARC,1
352735,2011,Arauca,TAME,Guerrilla,FARC,1
352736,2011,Nariño,PASTO,Guerrilla,FARC,2
352740,2011,Nariño,MALLAMA,Guerrilla,No Identificada,1
352741,2011,Cauca,SILVIA,Guerrilla,FARC,2
352743,2011,Norte de Santander,HACAR?,Guerrilla,No Identificada,1
352745,2011,Casanare,YOPAL,Guerrilla,FARC,1
352746,2011,Antioquia,YARUMAL,Desconocido,No aplica,1
352747,2011,Atlántico,BARRANQUILLA,Desconocido,No aplica,1
352748,2011,Antioquia,MUTAT?,Guerrilla,No Identificada,1
352749,2011,Cauca,ALMAGUER,Desconocido,No aplica,1
352750,2011,Cauca,CORINTO,Desconocido,No aplica,1
352751,2011,Putumayo,PUERTO AS?S,Desconocido,No aplica,1
352752,2011,Nariño,RICAURTE,Guerrilla,No Identificada,2
352754,2011,Arauca,ARAUQUITA,Guerrilla,FARC,3
352757,2011,Arauca,ARAUQUITA,Guerrilla,No Identificada,1
352758,2011,Arauca,ARAUQUITA,Guerrilla,No Identificada,1
352759,2011,Antioquia,TOLEDO,Desconocido,No aplica,1
352761,2011,Nariño,SAMANIEGO,Grupo Posdesmovilización,No Identificado,1
352763,2011,Valle del Cauca,BUENAVENTURA,Desconocido,No aplica,1
352764,2011,Antioquia,VALDIVIA,Desconocido,No aplica,1
352765,2011,Cesar,VALLEDUPAR,Desconocido,No aplica,1
352766,2011,Meta,VISTAHERMOSA,Guerrilla,FARC,1
352767,2011,Meta,VISTAHERMOSA,Guerrilla,FARC,1
352768,2011,Risaralda,PEREIRA,Desconocido,No aplica,1
352770,2011,Nariño,MALLAMA,Desconocido,No aplica,1
352771,2011,Magdalena,PLATO,Guerrilla,No Identificada,1
352772,2011,Antioquia,MEDELL?N,Desconocido,No aplica,1
352773,2011,Cauca,PIAMONTE,Desconocido,No aplica,1
352774,2011,Arauca,SARAVENA,Guerrilla,No Identificada,1
352775,2011,Meta,URIBE,Guerrilla,No Identificada,1
352776,2011,Córdoba,MONTEL?BANO,Desconocido,No aplica,1
352777,2011,Nariño,RICAURTE,Desconocido,No aplica,1
352778,2011,Cundinamarca,MANTA,Guerrilla,ELN,1
352779,2011,Chocó,BAGAD?,Guerrilla,ELN,1
352780,2011,Santander,BARRANCABERMEJA,Guerrilla,FARC,2
352781,2011,Valle del Cauca,CALI,Desconocido,No aplica,1
352782,2011,Antioquia,MEDELL?N,Desconocido,No aplica,1
352783,2011,Valle del Cauca,TULU?,Desconocido,No aplica,1
352784,2011,Tolima,ATACO,Desconocido,No aplica,1
352785,2011,Antioquia,TURBO,Guerrilla,FARC,1
352786,2011,Norte de Santander,TEORAMA,Guerrilla,No Identificada,1
352787,2011,Tolima,ALVARADO,Guerrilla,FARC,1
352788,2011,Cundinamarca,TENJO,Guerrilla,FARC,1
352789,2011,Meta,VILLAVICENCIO,Guerrilla,FARC,1
352790,2011,Meta,VISTAHERMOSA,Desconocido,No aplica,1
352791,2011,Meta,VILLAVICENCIO,Grupo Posdesmovilización,No Identificado,3
352794,2011,Nariño,SAN ANDR�S DE TUMACO,Desconocido,No aplica,1
352795,2011,Bolívar,MONTECRISTO,Desconocido,No aplica,1
352796,2011,Cauca,POPAY?N,Guerrilla,FARC,1
352797,2011,Antioquia,VALDIVIA,Guerrilla,FARC,1
352799,2011,Nariño,CUMBITARA,Grupo Posdesmovilización,No Identificado,1
352800,2011,Chocó,BAGAD?,Guerrilla,ELN,1
352801,2011,Chocó,ALTO BAUD?,Grupo Posdesmovilización,No Identificado,1
352802,2011,Antioquia,SOPETR?N,Grupo Posdesmovilización,No Identificado,1
352803,2011,Valle del Cauca,CALI,Guerrilla,No Identificada,1
352804,2011,Santander,PUERTO WILCHES,Guerrilla,FARC,1
352805,2011,Casanare,MAN?,Guerrilla,ELN,1
352806,2011,Nariño,SAN ANDR�S DE TUMACO,Guerrilla,No Identificada,1
352807,2011,Arauca,FORTUL,Guerrilla,No Identificada,1
352808,2011,Meta,URIBE,Guerrilla,FARC,1
352810,2011,Nariño,SAN ANDR�S DE TUMACO,Desconocido,No aplica,1
352811,2011,Nariño,LA CRUZ,Guerrilla,No Identificada,1
352812,2011,Tolima,FLANDES,Guerrilla,FARC,1
352813,2011,Caquetá,EL DONCELLO,Guerrilla,FARC,1
352814,2011,Boyacá,PUERTO Boyacá,Desconocido,No aplica,1
352815,2011,Casanare,AGUAZUL,Guerrilla,ELN,3
352818,2011,Casanare,AGUAZUL,Desconocido,No aplica,1
