ano,dept,municipio,modalidad,presuntoRes,desPresuntoRes,num
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Santander,RIONEGRO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cauca,EL TAMBO,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Atlántico,SOLEDAD,Desconocida,Desconocido,No aplica,1
0,Nariño,SAN ANDR�S DE TUMACO,Desconocida,Desconocido,No aplica,1
0,Antioquia,BETULIA,Desconocida,Desconocido,No aplica,1
0,Huila,GIGANTE,Desconocida,Desconocido,No aplica,1
0,Magdalena,SANTA MARTA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,GRANADA,Desconocida,Guerrilla,No Identificada,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,Antioquia,BELLO,Desconocida,Guerrilla,No Identificada,1
0,Antioquia,SEGOVIA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cesar,PUEBLO BELLO,Desconocida,Desconocido,No aplica,1
0,Córdoba,MONTER?A,Desconocida,Desconocido,No aplica,1
0,Cundinamarca,ALB?N,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,CALI,Desconocida,Desconocido,No aplica,1
0,Arauca,Arauca,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Magdalena,ARIGUAN?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Armado No Identificado,No aplica,1
0,Antioquia,GRANADA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cauca,MIRANDA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cauca,POPAY?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,ITUANGO,Desconocida,Grupo Paramilitar,No Identificado,1
0,Antioquia,MEDELL?N,Desconocida,Guerrilla,No Identificada,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Caldas,MANIZALES,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,CALI,Desconocida,Desconocido,No aplica,1
0,Antioquia,SONS?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,VENECIA,Desconocida,Desconocido,No aplica,1
0,Antioquia,ANDES,Desconocida,Desconocido,No aplica,1
0,Chocó,QUIBD?,Desconocida,Grupo Armado No Identificado,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Cundinamarca,CAPARRAP?,Desconocida,Desconocido,No aplica,1
0,Meta,PUERTO GAIT?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Santander,EL CARMEN DE CHUCUR?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,RIOFR?O,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Armado No Identificado,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Bolívar,ZAMBRANO,Desconocida,Desconocido,No aplica,1
0,Santander,CAPITANEJO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,FLORIDA,Desconocida,Desconocido,No aplica,1
0,"Bogotá D.C.","Bogotá D.C.",Desconocida,Desconocido,No aplica,1
0,Norte de Santander,C?CUTA,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Córdoba,TIERRALTA,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Meta,GRANADA,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Putumayo,PUERTO AS?S,Desconocida,Desconocido,No aplica,1
0,Huila,ISNOS,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Bolívar,SANTA ROSA DEL SUR,Desconocida,Desconocido,No aplica,1
0,Magdalena,SANTA MARTA,Desconocida,Grupo Armado No Identificado,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Meta,CUBARRAL,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,TULU?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,TURBO,Desconocida,Desconocido,No aplica,1
0,Santander,SABANA DE TORRES,Desconocida,Desconocido,No aplica,1
0,Nariño,SAN ANDR�S DE TUMACO,Desconocida,Grupo Paramilitar,No Identificado,1
0,Sucre,Sucre,Desconocida,Desconocido,No aplica,1
0,Antioquia,SEGOVIA,Desconocida,Desconocido,No aplica,1
0,Santander,LEBRIJA,Desconocida,Desconocido,No aplica,1
0,Antioquia,SAN RAFAEL,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Chocó,RIOSUCIO,Desconocida,Desconocido,No aplica,1
0,Antioquia,Nariño,Desconocida,Desconocido,No aplica,1
0,Santander,BARRANCABERMEJA,Desconocida,Grupo Paramilitar,No Identificado,1
0,Casanare,PAZ DE ARIPORO,Desconocida,Desconocido,No aplica,1
0,Antioquia,MEDELL?N,Desconocida,Desconocido,No aplica,1
0,Antioquia,ENVIGADO,Desconocida,Desconocido,No aplica,1
0,Nariño,IPIALES,Desconocida,Desconocido,No aplica,1
0,Caquetá,CURILLO,Desconocida,Desconocido,No aplica,1
0,Huila,AIPE,Desconocida,Desconocido,No aplica,1
0,Caquetá,SAN VICENTE DEL CAGU?N,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,EL SANTUARIO,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Antioquia,MUTAT?,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,Valle del Cauca,SEVILLA,Desconocida,Desconocido,No aplica,1
0,Caldas,MARQUETALIA,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Desconocido,No aplica,1
