id,ano,dept,MUNINICIO_CASO,presuntoRes,desPresuntoRes,num
185427,2012,Nariño,SAN ANDR�S DE TUMACO,Guerrilla,FARC,9
185428,2012,Cauca,VILLA RICA,Guerrilla,FARC,6
185429,2012,Cauca,CORINTO,Guerrilla,FARC,0
185430,2012,Norte de Santander,EL TARRA,Guerrilla,FARC,0
185431,2012,Cauca,JAMBAL?,Guerrilla,FARC,0
185432,2012,Tolima,IBAGU�,Guerrilla,FARC,0
185433,2012,Nariño,SAMANIEGO,Guerrilla,No Identificada,1
185434,2012,Nariño,EL CHARCO,Guerrilla,FARC,0
185437,2012,Meta,VISTAHERMOSA,Guerrilla,FARC,6
185438,2012,Valle del Cauca,PRADERA,Guerrilla,FARC,2
185439,2012,Cauca,BALBOA,Guerrilla,FARC,0
185440,2013,Cauca,TIMB?O,Desconocido,No aplica,0
185441,2013,Cauca,ARGELIA,Guerrilla,FARC,0
185442,2013,Nariño,SAN ANDR�S DE TUMACO,Guerrilla,FARC,0
185443,2014,Antioquia,MEDELL?N,Guerrilla,FARC,0
185444,2014,Cauca,MIRANDA,Guerrilla,FARC,1
185445,2015,Nariño,EL CHARCO,Grupo Armado No Identificado,No aplica,0
185446,2015,Valle del Cauca,BUENAVENTURA,Desconocido,No aplica,0
185447,2015,Nariño,BARBACOAS,Desconocido,No aplica,0
185448,2015,Putumayo,PUERTO AS?S,Guerrilla,FARC,0
185449,2015,Antioquia,ANOR?,Guerrilla,FARC,0
185450,2015,Putumayo,MOCOA,Guerrilla,FARC,0
185451,2015,Cauca,TIMBIQU?,Desconocido,No aplica,0
185452,2015,Valle del Cauca,FLORIDA,Guerrilla,FARC,0
185453,2015,Nariño,SAN ANDR�S DE TUMACO,Guerrilla,FARC,0
185454,2015,Arauca,FORTUL,Guerrilla,No Identificada,0
185455,2015,Cauca,LA VEGA,Grupo Armado No Identificado,No aplica,0
185456,1965,Norte de Santander,C?CUTA,Guerrilla,ELN,0
185457,1965,Cauca,POPAY?N,Desconocido,No aplica,0
185458,1965,"Bogotá D.C.","Bogotá D.C.",Desconocido,No aplica,0
185459,2003,Arauca,SARAVENA,Guerrilla,FARC,5
185466,1965,"Bogotá D.C.","Bogotá D.C.",Desconocido,No aplica,0
185467,1965,"Bogotá D.C.","Bogotá D.C.",Bandolerismo,No Identificado,0
185468,1965,"Bogotá D.C.","Bogotá D.C.",Guerrilla,ELN,1
195048,2001,Norte de Santander,GRAMALOTE,Guerrilla,ELN,2
200005,2009,Antioquia,C?CERES,Grupo Armado No Identificado,No aplica,0
200991,2012,Huila,ALGECIRAS,Guerrilla,FARC,0
292047,2003,Antioquia,TARAZ?,Grupo Armado No Dirimido,,4
395535,1999,Norte de Santander,TIB?,Grupo Paramilitar,No Identificado,1
396266,1992,Antioquia,BARBOSA,Guerrilla,Coordinadora Guerrillera Sim�n Bol�var,1
419293,1982,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
419294,1997,Antioquia,MEDELL?N,Otro,,5
419295,1997,Antioquia,APARTAD?,Guerrilla,FARC,10
419296,1997,Caquetá,PUERTO RICO,Guerrilla,FARC,1
419297,2003,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,FARC,1
419298,2003,Caquetá,FLORENCIA,Guerrilla,FARC,14
419299,2003,Caquetá,FLORENCIA,Guerrilla,FARC,3
419300,2011,Cauca,CALDONO,Guerrilla,FARC,0
419301,2012,Norte de Santander,EL TARRA,Guerrilla,FARC,0
419302,2012,Cauca,ARGELIA,Guerrilla,FARC,0
419303,2012,Cauca,CALOTO,Agente del Estado,Polic�a Nacional,0
419304,2012,Nariño,SANDON?,Guerrilla,FARC,0
419305,2012,Valle del Cauca,BUENAVENTURA,Guerrilla,FARC,0
419306,2012,Arauca,TAME,Guerrilla,FARC,2
419307,2014,Antioquia,SAN ANDR�S DE CUERQU?A,Guerrilla,FARC,0
419308,2014,Cesar,SAN DIEGO,Guerrilla,No Identificada,0
421647,2002,La Guajira,LA JAGUA DEL PILAR,Guerrilla,FARC,0
448523,2011,Nariño,EL CHARCO,Guerrilla,FARC,0
490206,2012,Cauca,PAT?A,Guerrilla,FARC,0
500379,2017,"Bogotá D.C.","Bogotá D.C.",Guerrilla,Otra,3
500471,2001,Meta,GRANADA,Guerrilla,FARC,0
511101,2009,Antioquia,PUERTO BERR?O,Grupo Posdesmovilización,No Identificado,0
511102,2011,Nariño,T?QUERRES,Grupo Armado No Identificado,No aplica,1
511104,2012,Cauca,BALBOA,Guerrilla,FARC,0
511105,2012,La Guajira,MAICAO,Grupo Posdesmovilización,No Identificado,0
511123,1988,"Bogotá D.C.","Bogotá D.C.",Grupo Paramilitar,Otro,0
511170,1976,"Bogotá D.C.","Bogotá D.C.",Desconocido,No aplica,0
511185,1975,"Bogotá D.C.","Bogotá D.C.",Grupo Paramilitar,No Identificado,0
511204,1976,"Bogotá D.C.","Bogotá D.C.",Guerrilla,EPL,0
521508,2011,Nariño,SAN ANDR�S DE TUMACO,Grupo Armado No Identificado,No aplica,0
521513,2000,Tolima,RONCESVALLES,Guerrilla,FARC,3
521842,1997,Chocó,RIOSUCIO,Grupo Armado No Dirimido,,1
521875,2012,Nariño,SAMANIEGO,Desconocido,No aplica,0
521877,2009,Antioquia,C?CERES,Grupo Armado No Identificado,No aplica,0
521880,2009,Antioquia,C?CERES,Grupo Paramilitar,No Identificado,0
521917,2006,Santander,BARRANCABERMEJA,Grupo Posdesmovilización,Urabe�os/Autodefensas Gaitanistas de Colombia/?guilas Negras/Clan ?suga,0
522006,1975,"Bogotá D.C.","Bogotá D.C.",Desconocido,No aplica,0
532362,1976,Valle del Cauca,CALI,Guerrilla,M-19,0
