id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
185737,1992,Antioquia,APARTAD?,Quema de Veh�culos,Desconocido,No aplica,0
185738,1992,Antioquia,CIUDAD Bolívar,Quema de Veh�culos,Guerrilla,FARC,0
185739,1992,Magdalena,TENERIFE,Quema de Veh�culos,Desconocido,No aplica,2
185740,1992,Santander,LEBRIJA,Ataque a Propiedad,Guerrilla,No Identificada,0
185741,1992,Magdalena,CI�NAGA,Ataque a Propiedad,Desconocido,No aplica,0
185742,1992,Antioquia,CAICEDO,Ataque a Propiedad,Guerrilla,FARC,0
185743,1992,Caldas,SUP?A,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185744,1992,Meta,GRANADA,Quema de Veh�culos,Guerrilla,FARC,0
185745,1992,Bolívar,ACH?,Quema de Veh�culos,Guerrilla,FARC,0
185746,1992,Antioquia,TURBO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185747,1992,Antioquia,ENVIGADO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185748,1992,Córdoba,PLANETA RICA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185749,1992,Santander,CONCEPCI?N,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185750,1992,Magdalena,SANTA MARTA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185751,1993,Santander,SAN VICENTE DE CHUCUR?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185752,1993,Santander,SAN VICENTE DE CHUCUR?,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185753,1993,Magdalena,ARACATACA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185754,1993,Magdalena,SANTA MARTA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185755,1993,Antioquia,TURBO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185756,1993,Antioquia,TURBO,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185757,1993,Antioquia,SAN JUAN DE URAB?,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185758,1993,Caldas,SAMAN?,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185759,1993,Caldas,MARMATO,Ataque a Propiedad,Guerrilla,Disidencia EPL,0
185760,1993,Arauca,SARAVENA,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185761,1993,Arauca,Arauca,Ataque a Propiedad,Guerrilla,ELN,0
185762,1993,Santander,RIONEGRO,Ataque a Propiedad,Guerrilla,ELN,0
185763,1993,Antioquia,EB�JICO,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185765,1993,Antioquia,YARUMAL,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185766,1993,Chocó,UNGU?A,Ataque a Propiedad,Guerrilla,No Identificada,0
185767,1993,Sucre,SAN MARCOS,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
185768,1993,Antioquia,TURBO,Ataque a Propiedad,Desconocido,No aplica,0
185769,1993,Antioquia,ABEJORRAL,Quema de Veh�culos,Grupo Paramilitar,No Identificado,0
185771,1993,Valle del Cauca,CALIMA,Ataque a Propiedad,Guerrilla,No Identificada,0
185772,1994,Magdalena,SABANAS DE SAN ?NGEL,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
185773,1994,Antioquia,COPACABANA,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
185774,1994,Putumayo,PUERTO AS?S,Quema de Veh�culos,Desconocido,No aplica,0
185775,1994,Antioquia,ARBOLETES,Ataque a Propiedad,Grupo Paramilitar,Autodefensas Campesinas de C�rdoba y Urab� (ACCU),0
185776,1994,Córdoba,TIERRALTA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
