id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
34794,1996,Cundinamarca,GUAYABAL DE S?QUIMA,Guerrilla,FARC,1
34795,1996,Cauca,Santander DE QUILICHAO,Guerrilla,FARC,3
34796,1996,Boyacá,COVARACH?A,Guerrilla,FARC,0
34797,1997,Cauca,CALOTO,Guerrilla,FARC,1
34798,1997,Magdalena,FUNDACI?N,Guerrilla,FARC,4
34799,1997,Boyacá,CUBAR?,Guerrilla,ELN,10
34800,1997,Norte de Santander,SARDINATA,Guerrilla,FARC,0
34801,1997,Cauca,CALDONO,Guerrilla,FARC,0
34802,1997,Sucre,GALERAS,Guerrilla,Disidencia ELN,2
34803,1997,Boyacá,LABRANZAGRANDE,Guerrilla,FARC,2
34804,1997,Cundinamarca,GUTI�RREZ,Guerrilla,FARC,1
34805,1997,Cauca,MIRANDA,Guerrilla,FARC,0
34806,1997,Casanare,CH?MEZA,Guerrilla,FARC,1
34807,1997,Cundinamarca,VENECIA,Guerrilla,FARC,1
34809,1997,Cauca,SILVIA,Guerrilla,FARC,1
34810,1997,Nariño,BARBACOAS,Guerrilla,FARC,6
34811,1997,Bolívar,SIMIT?,Guerrilla,ELN,3
34812,1997,Cauca,P?EZ,Guerrilla,FARC,0
34813,1997,Norte de Santander,?BREGO,Guerrilla,ELN,0
34814,1997,Cauca,PIENDAM?,Guerrilla,FARC,0
34815,1997,Caquetá,VALPARA?SO,Guerrilla,FARC,1
34816,1997,Cundinamarca,GACHAL?,Guerrilla,FARC,0
34817,1997,Tolima,SANTA ISABEL,Guerrilla,FARC,0
34818,1997,Cundinamarca,CABRERA,Guerrilla,FARC,3
34819,1997,Putumayo,SAN MIGUEL,Guerrilla,FARC,24
34820,1997,Antioquia,YAL?,Guerrilla,ELN,0
34821,1997,Boyacá,PAJARITO,Guerrilla,FARC,10
34822,1997,Cundinamarca,PUL?,Guerrilla,FARC,0
34823,1997,Caquetá,PUERTO RICO,Guerrilla,FARC,1
34824,1997,Cauca,BALBOA,Guerrilla,FARC,1
34825,1997,Tolima,DOLORES,Guerrilla,FARC,0
34826,1997,Cauca,TOTOR?,Guerrilla,FARC,4
34827,1997,Cauca,PIENDAM?,Guerrilla,FARC,0
34828,1997,QUINDIO,G�NOVA,Guerrilla,FARC,2
34830,1997,Santander,GUACA,Guerrilla,No Identificada,3
34832,1997,Cauca,CALDONO,Guerrilla,FARC,1
34833,1998,Boyacá,G�IC?N,Guerrilla,FARC/ELN,2
34834,1998,Boyacá,ROND?N,Guerrilla,FARC,0
34835,1998,Cundinamarca,GAMA,Guerrilla,FARC,1
34836,1998,Cundinamarca,NOCAIMA,Guerrilla,FARC,2
34837,1998,Tolima,CUNDAY,Guerrilla,FARC,0
34838,1998,Valle del Cauca,FLORIDA,Guerrilla,FARC,0
34839,1998,Meta,PUERTO LLERAS,Guerrilla,FARC,6
34840,1998,Nariño,EL ROSARIO,Guerrilla,FARC,0
34841,1998,Meta,VISTAHERMOSA,Guerrilla,FARC,0
34843,1998,Arauca,CRAVO NORTE,Guerrilla,FARC/ELN,2
34844,1998,Norte de Santander,RAGONVALIA,Guerrilla,ELN,2
34845,1998,Caldas,RIOSUCIO,Guerrilla,FARC,2
34846,1998,Cundinamarca,BELTR?N,Guerrilla,FARC,1
34847,1998,Cundinamarca,BELTR?N,Guerrilla,FARC,1
34848,1998,Antioquia,LA UNI?N,Guerrilla,FARC,0
34849,1998,Bolívar,MORALES,Guerrilla,No Identificada,4
34850,1998,Santander,LAND?ZURI,Guerrilla,ELN,0
34851,1998,Norte de Santander,EL TARRA,Guerrilla,ELN,1
34852,1998,Tolima,CUNDAY,Guerrilla,FARC,0
34853,1998,Valle del Cauca,JAMUND?,Guerrilla,ELN,2
34855,1998,Cauca,PUERTO TEJADA,Guerrilla,FARC,0
34856,1998,Cundinamarca,YACOP?,Guerrilla,FARC,0
34857,1998,Antioquia,COCORN?,Guerrilla,ELN,3
34858,1998,Nariño,LOS ANDES,Guerrilla,FARC,0
34859,1998,Bolívar,SAN MART?N DE LOBA,Guerrilla,ELN,0
34860,1998,Cauca,CAJIB?O,Guerrilla,FARC,0
34861,1998,Cauca,CORINTO,Guerrilla,No Identificada,0
34862,1998,Magdalena,SANTA MARTA,Guerrilla,ELN,1
34863,1998,Risaralda,MISTRAT?,Guerrilla,FARC,15
34864,1998,Bolívar,Córdoba,Guerrilla,FARC,1
34865,1998,Meta,URIBE,Guerrilla,FARC,33
34866,1998,Tolima,NATAGAIMA,Guerrilla,FARC,0
34867,1998,La Guajira,URUMITA,Guerrilla,FARC,2
34868,1998,Cauca,EL TAMBO,Guerrilla,FARC,0
34869,1998,Norte de Santander,CHITAG?,Guerrilla,ELN,3
34870,1998,Valle del Cauca,EL CERRITO,Guerrilla,"Disidencia M-19 ""Jaime Bateman Cay�n""",0
34871,1998,Casanare,HATO COROZAL,Guerrilla,FARC,5
34872,1998,Antioquia,DABEIBA,Guerrilla,FARC,2
34873,1998,Cesar,CHIMICHAGUA,Guerrilla,FARC,1
34874,1998,Cauca,ARGELIA,Guerrilla,FARC,0
